sample,Androgen,EGFR,Estrogen,Hypoxia,JAK-STAT,MAPK,NFkB,p53,PI3K,TGFb,TNFa,Trail,VEGF,WNT
906826,-0.424125356445838,0.1385179342005221,-0.2696747097481751,-0.06875972665262951,-0.375989066521131,0.41134698971119016,-0.6374683461511416,-1.0903096408079938,-0.19538058629643762,-0.7793322881011416,-0.4329184684195388,-0.8018626091726211,-0.13639016420333563,0.018311985606517867
687983,-1.7393225301380177,-0.9213671091773451,-0.7634906402249888,-1.3237423160950368,-0.9466218045566326,-0.9070406626099897,-1.3157127036611356,-0.8692247261963204,0.25424245306052745,-0.8242281001953695,-1.0195560174383231,-0.5104074365914375,-0.08663406837415719,-0.7298698874155618
910927,-1.5393075425754048,-0.06959140473218131,1.6135122212007404,-0.7648283580156519,-1.0542854491466342,0.1741256414901106,-0.3059911269264424,0.8896616060829978,-0.7487844950528745,0.7580845204687677,-0.17560337186520783,-0.8092881576396488,0.13321227284701012,2.2860225695836407
1240138,0.910748760766799,-0.22004670294936357,0.2195843682370885,-0.7361573439457986,-0.07536994803602227,-0.6023819032783205,0.9755970300752185,2.0632167153678953,0.48396302080993303,1.9108564508662995,0.9865983393876354,-0.23779188308713364,0.01391271879778177,1.5153319831965915
1240139,-1.0602951225142248,-0.18466550354652286,-0.5562506812099414,0.13664228409488652,-0.5864483319810063,-0.04550094684208468,-0.47515466995087047,0.8763231199029619,1.3814460930967503,0.9999634368147967,-0.39164224542084886,-0.922449300211172,0.9029684723215015,1.7103688631954033
906792,0.7518034343082186,0.8045298724984349,0.008914292690381374,0.40118663735484567,-0.5003805988949763,0.7719988500790732,-0.1878324383151971,-0.8895493961875381,-3.037983399266796,-0.3389734208506326,-0.143633113290744,0.2455630769887121,0.18149339848731136,-1.2216021363298397
910688,-1.8114160715919343,-0.7443041505521214,-0.6055043487800258,-0.7028259376032073,2.6602798536398105,-0.6629765317526256,2.6810874323533223,3.6490152051051665,-0.3484011807520591,-1.648467165069495,1.90358134607982,2.0617946996292007,-0.2410224026586039,-0.39765799656211054
1240135,0.41114239584236295,-0.8764629129521633,0.26097624230612476,0.018635629715288357,0.48079277854318986,-1.2234332438792508,0.3152527094886733,0.5940517041975714,0.3696886493539609,0.6738254654937459,0.330742130722667,-1.0025042428118678,0.43788983127754927,2.3850028808380923
1290812,0.4582026629902748,0.1341293807564591,-0.54294687695252,0.306210458558053,-0.7906196748134019,0.41020671748717064,-0.5972926134232276,1.4376037580647314,-0.046684948581923215,1.907586603909939,-0.5033426377320548,-1.0239703290806828,0.5583186119790291,0.6208359290399429
907045,0.32617270350206584,-0.33154114859537626,1.0635810765906988,-0.18652401064903948,-1.2908104163333853,-0.6919009540595088,-0.9892951190036038,0.22078554570408615,-0.765661090719442,-0.11716112228588807,-1.094611403585968,-0.35020594326872406,0.5192682255036686,-0.8976798367450805
